Date,Amount,Category,Description
2025-01-05,110.0,Groceries,Weekly grocery shopping at Target
2025-01-08,45.0,Transportation,Car wash at Speedy Wash
2025-01-12,25.0,Dining Out,Lunch at Subway
2025-01-16,15.0,Entertainment,Netflix subscription renewal
2025-01-20,12.0,Utilities,Monthly electricity bill payment
2025-02-07,120.0,Groceries,Weekly grocery shopping at Sprouts
2025-02-10,50.0,Transportation,Public transit pass
2025-02-14,30.0,Dining Out,Valentine's Day dinner at The Melting Pot
2025-02-18,18.0,Entertainment,Book purchase at Barnes & Noble
2025-02-22,14.0,Utilities,Monthly water bill payment
2025-03-06,130.0,Groceries,Weekly grocery shopping at Aldi
2025-03-09,55.0,Transportation,Car oil change at Jiffy Lube
2025-03-13,35.0,Dining Out,Lunch at Chipotle
2025-03-17,20.0,Entertainment,Movie night at home
2025-03-21,16.0,Utilities,Monthly internet bill payment
2025-04-14,100.0,Groceries,Weekly grocery shopping at Walmart
2025-04-15,50.0,Transportation,Fuel for car at Shell Gas Station
2025-04-16,30.0,Dining Out,Dinner with friends at Olive Garden
2025-04-17,20.0,Entertainment,Movie tickets at AMC Theater
2025-04-18,15.0,Utilities,Monthly electricity bill payment
2025-05-10,120.0,Groceries,Monthly grocery shopping at Costco
2025-05-12,60.0,Transportation,Car maintenance at AutoShop
2025-05-15,35.0,Dining Out,Lunch at Chipotle
2025-05-18,25.0,Entertainment,Concert tickets at Live Arena
2025-05-20,18.0,Utilities,Monthly water bill payment
2025-06-05,150.0,Groceries,Weekly grocery shopping at Trader Joe's
2025-06-08,70.0,Transportation,New tires for car at Tire Center
2025-06-12,40.0,Dining Out,Dinner at Cheesecake Factory
2025-06-15,30.0,Entertainment,Zoo tickets
2025-06-20,20.0,Utilities,Monthly internet bill payment
2025-07-07,130.0,Groceries,Weekly grocery shopping at Whole Foods
2025-07-10,55.0,Transportation,Car wash at Quick Wash
2025-07-14,45.0,Dining Out,Brunch at IHOP
2025-07-18,22.0,Entertainment,Museum tickets
2025-07-22,17.0,Utilities,Monthly gas bill payment
2025-08-09,140.0,Groceries,Weekly grocery shopping at Kroger
2025-08-12,65.0,Transportation,Oil change at Jiffy Lube
2025-08-16,50.0,Dining Out,Dinner at Red Lobster
2025-08-19,28.0,Entertainment,Amusement park tickets
2025-08-23,19.0,Utilities,Monthly phone bill payment
2025-09-06,160.0,Groceries,Weekly grocery shopping at Publix
2025-09-09,75.0,Transportation,Car detailing at Detail Pro
2025-09-13,55.0,Dining Out,Dinner at Outback Steakhouse
2025-09-17,32.0,Entertainment,Theater tickets
2025-09-21,21.0,Utilities,Monthly cable bill payment
2025-10-05,170.0,Groceries,Weekly grocery shopping at Aldi
2025-10-08,80.0,Transportation,Car battery replacement at AutoZone
2025-10-12,60.0,Dining Out,Dinner at Texas Roadhouse
2025-10-16,35.0,Entertainment,Bowling night with friends
2025-10-20,22.0,Utilities,Monthly trash bill payment
2025-11-07,180.0,Groceries,Weekly grocery shopping at Safeway
2025-11-10,85.0,Transportation,Car inspection at DMV
2025-11-14,65.0,Dining Out,Lunch at Panera Bread
2025-11-18,38.0,Entertainment,Video game purchase
2025-11-22,23.0,Utilities,Monthly security system payment
2025-12-06,190.0,Groceries,Weekly grocery shopping at Wegmans
2025-12-09,90.0,Transportation,New windshield wipers at AutoParts
2025-12-13,70.0,Dining Out,Dinner at P.F. Chang's
2025-12-17,40.0,Entertainment,Holiday light show tickets
2025-12-21,24.0,Utilities,Monthly heating bill payment

